word,category,priority
7点40分,CSL,1
一,CSL,1
一万,CSL,1
一千,CSL,1
一半,CSL,1
一对,CSL,1
一打,CSL,1
一星期,CSL,1
一月,CSL,1
一百,CSL,1
一百万,CSL,1
一致,CSL,1
七,CSL,1
七万,CSL,1
七十,CSL,1
七十一,CSL,1
七十七,CSL,1
七十万,CSL,1
七十三,CSL,1
七十九,CSL,1
七十二,CSL,1
七十五,CSL,1
七十八,CSL,1
七十六,CSL,1
七十四,CSL,1
七千,CSL,1
七月,CSL,1
七点四十五分,CSL,1
七百,CSL,1
三,CSL,1
三万,CSL,1
三倍,CSL,1
三十,CSL,1
三十一,CSL,1
三十七,CSL,1
三十万,CSL,1
三十三,CSL,1
三十九,CSL,1
三十二,CSL,1
三十五,CSL,1
三十八,CSL,1
三十六,CSL,1
三十四,CSL,1
三千,CSL,1
三原色（蓝色 红色和黄色）,CSL,1
三明治,CSL,1
三月,CSL,1
三百,CSL,1
三百六十度,CSL,1
三角,CSL,1
上下班高峰时间,CSL,1
上午,CSL,1
上周,CSL,1
下午,CSL,1
下午一点钟,CSL,1
下周,CSL,1
不,CSL,1
不久,CSL,1
不变的,CSL,1
不喜欢,CSL,1
不大的,CSL,1
不尊敬,CSL,1
不情愿,CSL,1
不愿意,CSL,1
不服从的,CSL,1
不舒服,CSL,1
不透明性,CSL,1
与此同时,CSL,1
专心的,CSL,1
专横霸道的,CSL,1
世纪,CSL,1
两万,CSL,1
两千,CSL,1
两次,CSL,1
两点钟,CSL,1
两百,CSL,1
严格的,CSL,1
个人的,CSL,1
个性,CSL,1
中午,CSL,1
丰富的,CSL,1
丰满的,CSL,1
临床的,CSL,1
临时,CSL,1
丹麦,CSL,1
为什么,CSL,1
主动权,CSL,1
主要,CSL,1
久远地,CSL,1
之前,CSL,1
之后,CSL,1
乌克兰,CSL,1
九,CSL,1
九万,CSL,1
九十,CSL,1
九十一,CSL,1
九十七,CSL,1
九十万,CSL,1
九十三,CSL,1
九十九,CSL,1
九十二,CSL,1
九十五,CSL,1
九十八,CSL,1
九十六,CSL,1
九十四,CSL,1
九十度,CSL,1
九千,CSL,1
九月,CSL,1
九点钟,CSL,1
九百,CSL,1
书,CSL,1
书呆子,CSL,1
二,CSL,1
二十,CSL,1
二十一,CSL,1
二十七,CSL,1
二十万,CSL,1
二十三,CSL,1
二十九,CSL,1
二十二,CSL,1
二十五,CSL,1
二十八,CSL,1
二十六,CSL,1
二十四,CSL,1
二月,CSL,1
二百,CSL,1
五,CSL,1
五万,CSL,1
五十,CSL,1
五十一,CSL,1
五十七,CSL,1
五十万,CSL,1
五十三,CSL,1
五十九,CSL,1
五十二,CSL,1
五十五,CSL,1
五十八,CSL,1
五十六,CSL,1
五十四,CSL,1
五千,CSL,1
五点钟,CSL,1
五百,CSL,1
亚洲,CSL,1
亲切的,CSL,1
人格特质,CSL,1
人民，人们,CSL,1
什么,CSL,1
什么时候,CSL,1
今天,CSL,1
今年,CSL,1
今晚,CSL,1
仍然,CSL,1
从来没有,CSL,1
仔细的,CSL,1
付款,CSL,1
付诸行动,CSL,1
以前,CSL,1
以前的,CSL,1
以后,CSL,1
以色列,CSL,1
休庭,CSL,1
优美的,CSL,1
会议,CSL,1
传译者,CSL,1
伪君子,CSL,1
伪善的,CSL,1
低,CSL,1
作业,CSL,1
你,CSL,1
侵犯的,CSL,1
便利的,CSL,1
俄罗斯,CSL,1
信,CSL,1
信任,CSL,1
信箱,CSL,1
信赖,CSL,1
倔强,CSL,1
偏爱,CSL,1
偏见,CSL,1
停车,CSL,1
健康,CSL,1
傍晚,CSL,1
傻笑,CSL,1
元旦前夕,CSL,1
兄弟,CSL,1
充足的,CSL,1
先于,CSL,1
克,CSL,1
全部,CSL,1
八,CSL,1
八万,CSL,1
八十,CSL,1
八十一,CSL,1
八十七,CSL,1
八十万,CSL,1
